Шаг оригинал	Описание	Перевод шага	Перевод описания	
Тогда элемент формы "%1 Заголовок поля" стал равен шаблону "%2 Шаблон"	Проверка значения элемента формы. В значении допускаются символы *	Atunci elementul formei "%1 Titlulul Câmpului"a devenit egal cu șablonul "%2 Șablon"	Verificarea valorii unui element de formular. Caracterele valide sunt *	
Тогда элемент формы с именем "%1 ИмяПоля" стал равен шаблону "%2 Шаблон"	Проверка значения элемента формы. В значении допускаются символы *	Atunci elementul de formă cu numele "%1 NumeCâmp" a devenit egal cu șablonul "%2 Șablon"	Verificarea valorii unui element de formular. Caracterele valide sunt *	
Тогда я прерываю цикл	Устанавливает признак, что надо завершить выполнение цикла	Atunci eu întrerup ciclul	Setează steagul pentru a finaliza buclă.	
Тогда я удаляю файл "%1 ИмяФайла"	Удаляет файл	Atunci eu șterg fișierul "%1 NumeFișier"	Șterge fișierul	
Дано Я открыл новый сеанс TestClient или подключил уже существующий	Открывает новый TesClient в той же базе, что и TestManager или подключает уже существующий	Dat fiind că Eu am lansat TestClient sau am conectat unul existent	Deschide TesClient nou în aceiași bază ca și TestManager sau conectează pe cel deja existent	
Дано Я запускаю сценарий открытия TestClient или подключаю уже существующий	Подсценарий. Подключает новый TestClient если необходимо и закрывает в нём все окна	Dat fiind ca Eu lansez Scenariul de deschidere TestClient sau conectez unul existent	Conectează TestClient nou la necesitate sau închide în el toate ferestrele	
Когда я нажимаю кнопку командного интерфейса "%1 Заголовок кнопки"	Нажимает на кнопку командного интерфейса	Când Eu butonez "%1 Depozite" din Interfața de comenzi	Tastează butonul interfeței de control	
Когда В панели разделов я выбираю "%1 ИмяКоманды"	Нажатие кнопки на панели разделов	Când Eu selectez "%1 Principal" în Panoul Compartimentelor	Tastarea butonului pe panoul compartimentelor	
И В панели функций я выбираю "%1 ИмяКоманды"	Нажатие кнопки на панели функций	Și Eu selectez "%1 Catalog1" în Panoul de Funcții a Secțiunii Curente	Tastarea butonului pe panoul funcțiilor	
Тогда открылось окно "%1 Заголовок окна"	Проверяет, что на экране есть активное окно с нужым заголовком	Atunci se deschide fereastra "%1 Catalog1 (creare)"	Verifică ca pe ecran să existe fereastra activă cu titlul dorit	
И в поле с именем "%1 ИмяПоля" я ввожу текст "%2 Значение поля"	Вводит текст в поле. Также вводит текст в форматированный документ и поле HTML документа.	Și in câmpul "%2 NumeCâmp" eu scriu text "%1 Valoare câmp"	Introduce textul în cîmp	
